name, latitude, longitude
Kennedy Road and 16th Avenue,43.8794488,-79.31427324
Kennedy and Bur Oak Ave.,43.88842979,-79.3165852
14th Ave. at Beckonridge Dr./ Brimley Rd.,43.8458389,-79.29451164
16th Ave. at Spadina Rd. / Valleymede Dr.,43.86032833,-79.39605698
Bathurst St. at Lebovic Campus Dr. / Weldrick Rd.,43.85485588,-79.4603069
Bathurst St. at Ner Israel Dr.,43.84013448,-79.45698729
14th Ave. at Birchmount Rd.,43.83982737,-79.32034677
Bathurst St. at Jefferson Sdrd.,43.91699832,-79.47532258
Kennedy and Elgin Mills ,43.91536181,-79.32368813
Queensville and 2nd Concession ,44.13308311,-79.4751478
Bathurst St and Mil St,43.87308673,-79.4642824
Bayview and Crosby/Redstone,43.8850133,-79.41767906
Mount Albert Rd. at Warden Ave.,44.11320985,-79.39224995
Leslie Street at Colonel Wayling/Manor Hampton,44.09218656,-79.43864535
Box Grove ByPass at 14th Ave.,43.86092801,-79.2243706
Green Lane at Woodspring Ave.,44.07081719,-79.49416879
Weston Road at Kirby Road,43.88161575,-79.56908
Dufferin St. at Autumn Hill Dr. / Ten Oaks Dr.,43.83582478,-79.48146822
Yonge St and Millard Ave,44.05072587,-79.47946809
Yonge St. at Garden Ave./ Highway 7 Off-Ramp,43.83925822,-79.42971134
Pine Valley Drive and Teston Rd.,43.85760683,-79.59049053
Yonge St and Clearmeadow Blvd,44.03990317,-79.47690141
Bathurst at Keith,44.0387291,-79.50112332
Baseline West of Dalton PXO,44.300352,-79.37615232
Woodbine at Russell Dawson,43.88975091,-79.37379878
Ninth Line at Millard Street,43.97554175,-79.25714519
Highway 400 Northbound Offramp at Lloydtown Rd,44.00216241,-79.58429598
14th Ave and McDowell Gate ,43.84237649,-79.31082775
Langstaff Rd and Huntington Rd,43.78679594,-79.65096073
Leslie and John Birchall Rd/William F. Bell Parkway ,43.90383365,-79.39690215
Weston and Ashberry Blvd/Davos Rd,43.83457816,-79.55810803
Keele and Rivermede Rd,43.80846435,-79.50162617
Weston and Maria Antonia/Hawstone ,43.84046895,-79.55973403
16th Ave. at Elm Ave.,43.8555404,-79.42134571
Ravenshoe Rd at McCowan Rd,44.21479662,-79.36565464
