OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1493,38-03N,Bathurst Street Northbound,Centre Street,Highway 407,38,Active,38,3,SW,SW,SW,1,Regional Road,38-02,38-04,2,York Region,1906.70177837742
1494,11-12,King Road,8th Concession,7th Concession,11,Active,11,12,SW,SW,SW,2,Regional Road,11-10,11-14,2,York Region,2111.75846740047
1495,40-30,Bloomington Road,Highway 404,Woodbine Avenue,40,Active,40,30,CE,CE,CE,2,Regional Road,40-29,40-32,4,York Region,542.229991458281
1496,06-04,Keele Street,Highway 7,Langstaff Road,6,Active,6,4,SW,SW,SW,2,Regional Road,06-02,06-06,6,York Region,2060.89921394408
1497,82-56,Victoria Road,Old Shiloh Road,Lake Ridge Road,82,Active,82,56,NO,NO,NO,3,Regional Road,82-44,End,2,York Region,2063.22456014837
1498,55-08,Jane Street,Rutherford Road,Major Mackenzie Drive West,55,Active,55,8,SW,SW,SW,2,Regional Road,55-06,55-10,5,York Region,2090.85891606967
1499,07-29E,Highway 7 Eastbound,Leslie Street,Highway 404,7,Active,7,29,SE,SE,SE,1,Regional Road,07-28E,07-30E,3,York Region,980.813117534958
1500,55-20,Jane Street,15th Sideroad,16th Sideroad,55,Active,55,20,CE,CE,CE,3,Regional Road,55-18,55-22,2,York Region,2057.43014433309
1501,65-18,Warden Avenue,Bethesda Sideroad,Bloomington Road,65,Active,65,18,SE,SE,SE,3,Regional Road,65-16,65-20,2,York Region,2068.45467840689
1502,17-91,Islington Avenue - Rutherford Road Ramp,Islington Avenue,Rutherford Road,17,Active,17,91,SW,SW,SW,2,Channelized Right Turn Lane,17-08,73-11,1,York Region,144.016225553598
1503,27-01,Highway 27,Steeles Avenue West,Highway 407,27,Active,27,1,SW,SW,SW,2,Regional Road,Start,27-02,6,York Region,353.086018401659
1504,73-90,16th Avenue,16th Avenue,16th Avenue,73,Active,73,90,SE,SE,SE,1,Regional Road,Start,End,2,York Region,462.184673357378
1505,07-19E,Highway 7 Eastbound,Keele Street,Centre Street / North Rivermede Road,7,Active,7,19,SW,SW,SW,1,Regional Road,07-18E,07-20,3,York Region,1631.60334583892
1506,25-32,Major Mackenzie Drive East,Woodbine Avenue,Warden Avenue,25,Active,25,32,SE,SE,SE,2,Regional Road,25-30,25-34,4,York Region,2059.39467555116
1507,31-26M,Davis Drive Rapidway,Main Street North / Main Street South,Lundys Lane / Prospect Street,31,Active,31,26,CE,CE,CE,1,Rapidway,31-25,31-28,2,Metrolinx,583.653422693341
1508,19-26,Green Lane East,Green Lane West / Yonge Street,2nd Concession Road / Main Street North,19,Active,19,26,NO,CE,NO,2,Regional Road,19-24,19-28,4,York Region,2047.46254050243
1509,38-24,Bathurst Street,Wellington Street West,18th Sideroad / St Johns Sideroad,38,Active,38,24,CE,CE,CE,2,Regional Road,38-22,38-26,4,York Region,2081.50640924978
1510,26-28,St Johns Sideroad,Bayview Avenue,Leslie Street,26,Active,26,28,CE,CE,CE,3,Regional Road,26-26,26-29,2,York Region,2106.72501917292
1511,48-06,Donald Cousens Parkway,Highway 7,16th Avenue,48,Active,48,6,SE,SE,SE,3,Regional Road,48-05,48-08,4,York Region,2188.85959203572
1512,32-26,Ravenshoe Road,Yonge Street,2nd Concession Road,32,Active,32,26,NO,NO,NO,4,Regional Road,32-24,32-28,2,York Region,1928.60328086541
